speaker,dialogue,author,title,comedia
Tello,"Ah, señor, ¿cuántas de aquestas que se nos hacen gazapas con los ojitos de miz, tienen el zape en el alma? Las más ricas del honor quiebran tal vez y se pasan como mal papel, que deja en cada letra una mancha.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"Loco estoy. Escucha atento, pues este cancel nos tapa.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,Nadie se fíe en cancel si hablare mal en la sala.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"Yo creo a vueseñoría, mas pues Lucinda le agrada, ¿para qué me busca a mí?",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Conde,"Para escucharos, ingrata.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"¿Después de tantos paseos, Prado y fuente Castellana, viene a darme este disgusto? Mas debe de ser la causa que le ha dejado por otro: su condición os engaña.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,"Por la tribuna de Dios, que es el conde, y que se abrasa Belisa de celos.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,¡Cielos! No me dejaba sin causa,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,El conde la goza. Hoy hizo fin mi esperanza.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,"Vámonos de aquí, señor, que si esto adelante pasa, te han de sentir, y vendréis los dos a sacar la espada.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,¿Hay más que matarle?,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,"¿Cómo? ¿Matar? ¡Eso, que no es nada! Y después, a caballito, huyendo por las Italias o, por dicha, tú en teatro lutífero y yo en la hamaca que llaman finibus terrae, cantando, con media cara al sol, el remifasol, con dos pasos de garganta.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
